CTID,species,tissue_class,tissue_type,main_cancer_type,cancer_type,cancer_type_detail,big_cell_type,major_cell_type,cell_name,cell_marker,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,main_Phenotype_label,Phenotype_label,Association_Type,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence
CT041,Human,Skin,Skin,Melanoma,Melanoma,Melanoma,T cell,CD8+ T cells,CD8+ T cells,CLEC4E、KLRD1、PSME1、KIR2DL4、CD274、GBP4,34040608,Development and Validation of a CD8+ T Cell Infiltration-Related Signature for Melanoma Patients, Frontiers in Immunology,2021,Single-cell RNA sequencing,GSE72056、GSE115978,clinical phenotype,Drug Response,Immunotherapy Response,better,clinical sample,Statistical Analysis,analysis,clinical information,"As risk score could indicate the immune activity, we furthter investigated the expression level of five hot immunotherapy targeted genes in melanoma patients with low and high risk score from datasets TCGA_SKCM and GSE65904. We found PDCD1LG2, CD274 and PDCD1 genes, which are all related to PD-1/PD-L1 signaling pathway that inhibit T cell function, had significantly higher expression level in low risk population than high risk population (Figure 7A).

Our results showed that the non-responder population had a significantly higher risk score than the responder either from dataset GSE35640 (Figure 7F).

Another dataset, the IMvigor210 cohort, contained comprehensive RNA expression data and clinical information of 297 patients with metastatic urothelial cancer who were treated with an anti-PD-L1 agent (atezolizumab) (54). We also calculated the risk score in the dataset and noticed that patients who were responders (complete response or partial response) to the immunotherapy had significantly lower risk score than those who were non-responders (stable disease or progression disease) to the treatment (Figure 7I, p = 0.002). More patients in the low risk group were found to be responders to atezolizumab (left half shown in Figure 7J), and the risk score was predictable for urothelial cancer patients’ response to the anti-PD-L1 agent in this dataset (Figure 7K, AUC=0.604)."
CT042,Human,Skin,Skin,Melanoma,Melanoma,Melanoma,T cell,CD8+ T cells,CD8+ T cells,CLEC4E、KLRD1、PSME1、KIR2DL4、CD274、GBP4,34040608,Development and Validation of a CD8+ T Cell Infiltration-Related Signature for Melanoma Patients, Frontiers in Immunology,2021,Single-cell RNA sequencing,GSE72056、GSE115978,clinical phenotype,Survival,Overall Survival,better,clinical sample,survival analysis,analysis,clinical information,"Kaplan–Meier analysis revealed that melanoma patients from the low risk population had sinigificantly longer OS than those from the high risk one in the TCGA_SKCM dataset (Figure 3D, p < 0.0001). Moreover, we calculated the risk scores for melanoma patients from another two datasets as additional validations, GSE65094 (Figure 3E) and GSE22153 (Figure 3F), respectively."
CT043,Human,Cervical,Cervical,Cervical cancer,Cervical carcinoma,Cervical carcinoma,Macrophage,macrophage,C1QC+ TAMs,C1QC,34295336,Multi-Omics Analysis Showed the Clinical Value of Gene Signatures of C1QC+ and SPP1+ TAMs in Cervical Cancer,Frontiers in immunology,2021,single cell transcriptome,SMART-seq2 and 10x Genomic,clinical phenotype,Survival,better OS and DSS,,clinical samples,survival analysis,analysis,clinical data,"We found patients with C1QChigh and SPP1low TAMs gene signatures have the best overall survival (OS) and disease specific survival (DSS) (Figures 2E, F), whereas patients with C1QClow and SPP1high TAMs gene signatures have the worst OS and DSS (Figures 2E, F)."
CT044,Human,Cervical,Cervical,Cervical cancer,Cervical carcinoma,Cervical carcinoma,Macrophage,macrophage,SPP1+ TAMs,SPP1,34295336,Multi-Omics Analysis Showed the Clinical Value of Gene Signatures of C1QC+ and SPP1+ TAMs in Cervical Cancer,Frontiers in immunology,2021,single cell transcriptome,SMART-seq2 and 10x Genomic,clinical phenotype,Survival,worse OS and DSS,,clinical samples,survival analysis,analysis,clinical data,"We found patients with C1QChigh and SPP1low TAMs gene signatures have the best overall survival (OS) and disease specific survival (DSS) (Figures 2E, F), whereas patients with C1QClow and SPP1high TAMs gene signatures have the worst OS and DSS (Figures 2E, F)."
CT045,Human,Skin,unknown,Melanoma,Melanoma,Metastatic Melanoma,Natural Killer cell,Natural Killer cell,activated NK cell,NKG7、KLRK1、NCR1、GZMB,34376232,Transfer learning between preclinical models and human tumors identifies a conserved NK cell activation signature in anti-CTLA-4 responsive tumors,Genome Medicine,2021,Single-cell RNA sequencing,GSE119352,clinical phenotype,Drug Response,anti-CTLA-4 response,predictive of response,clinical sample,Immunofluorescence,abcam，ab201800,protein," In pre-treatment biopsies, the NK cell activation signature was significantly higher in anti-CTLA-4 responsive tumors than non-responsive tumors (p < 1 × 10−15, Additional file 1: Fig. S2A).

 In contrast, the NK cell activation signature was significantly enriched in tumors responsive to combination anti-CTLA-4 and anti-PD-1 taken before (Fig. 4A, p < 0.05) and during (Fig. 4B, p < 0.01) treatment. "
CT046,Human,Skin,unknown,Melanoma,Melanoma,Metastatic Melanoma,Natural Killer cell,Natural Killer cell,activated NK cell,NKG7、KLRK1、NCR1、GZMB,34376232,Transfer learning between preclinical models and human tumors identifies a conserved NK cell activation signature in anti-CTLA-4 responsive tumors,Genome Medicine,2021,Single-cell RNA sequencing,GSE119352,clinical phenotype,Survival,overall survival,associated with longer overall survival,clinical sample,survival analysis,analysis,clinical information,"While tumors from each treatment group contained NK cells with elevated levels of pattern 7, there was a significant enrichment in NK cells from tumors treated with anti-CTLA-4 (Fig. 3C). 

In melanoma, pattern 7 weight in metastatic lesions (n = 368) was associated with a longer overall survival (Fig. 7A, HR = 0.99, p = 0.017)"
CT047,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Fibroblast,CAFs,GREM1+ and MMP3+ CAFs,GREM1、MMP3,34450029,Spatially organized multicellular immune hubs in human colorectal cancer,Cell,2021,single cell transcriptome,10× Genomics,biological phenotype,Spatial Layer,cell-cell communication,,cell line,RNA-seq,Illumina NextSeq500,RNA,"To understand the communication pathways driving these malignant/immune/stroma cell interactions, we examined all chemokines and cytokines found within the top genes of the inflammatory and co-varying neutrophil programs (Figure 6D). This analysis suggested concerted attraction of CXCR1/2+ neutrophils by malignant cells, GREM1+ and MMP3+ CAFs, monocytes, and neutrophils expressing cognate chemokines (CXCL1/2/3/5/6/8) (Figure 6E). The same chemokines were upregulated in CRC-derived fibroblasts and CRC malignant cells when stimulated in vitro with cytokines found in the hub 3 inflammatory monocyte and neutrophil programs, such as IL1B (Figure 6F). "
CT048,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Lymphoid cell,Lymphoid cells,ctILC2,"GATA3, RORA, ZBTB16, IL1RL1, IL17RB",34467243,Single-cell transcriptomic landscape reveals tumor specific innate lymphoid cells associated with colorectal cancer progression,Cell reports. Medicine,2021,single cell transcriptome,10× Genomics,clinical phenotype,Survival,longer survival,,clinical samples,survival analysis,analysis,clinical data,"Higher levels of expression of the ILC2-activating cytokine IL33 in tumors were correlated with longer survival in CRC patients from The Cancer Genome Atlas (TCGA) dataset, suggesting that ctILC2 might be indicative of a good prognosis in CRC patients"
CT049,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Macrophage,Macrophages, lipid-associated macrophages,"FABP5, APOE, TREM2, CCL18",34493872,A single-cell and spatially resolved atlas of human breast cancers,Nature genetics,2021,single cell transcriptome,10x Genomics,clinical phenotype,Survival,worse overall survival,,clinical samples,survival analysis,analysis,clinical data,Patients with higher levels of SPP1 alone or of the signature of SPP1+ TAMs were associated with worse overall survival (OS) in treatment-naive patients (Figures 5E and 5F).
CT050,Human,Ovary,Ovary,Ovarian cancer,Ovarian Cancer,Ovarian carcinoma,Macrophage,macrophage,M1-TAMS,"IGHG1, LAP3, CTSS",34621670,Integration of scRNA-Seq and Bulk RNA-Seq to Analyse the Heterogeneity of Ovarian Cancer Immune Cells and Establish a Molecular Risk Model,Frontiers in immunology,2021,single cell transcriptome,10× Genomics,clinical phenotype,Survival,better survival,,clinical samples,survival analysis,analysis,clinical data,"The results of survival analysis showed that the patients with a high abundance of M1-TAMS had better survival (Figures 4B, C). The Kaplan-Meier curves of patients with different proportions of M1-like myeloid cells:(B) are disease free interval (DFI) (C) overall survival (OS)."
CT051,Human,Stomach,Stomach,Gastric Cancer,Gastric Cancer,Gastric Carcinoma,Fibroblast,Fibroblast cell,Fibroblast cell,"FN1, LUM, DCN",34642171,"Single-Cell Atlas of Lineage States, Tumor Microenvironment, and Subtype-Specific Expression Programs in Gastric Cancer",Cancer discovery,2022,single cell transcriptome,10× Genomics,clinical phenotype,Survival,shorter survival,,clinical samples,survival analysis,analysis,clinical data,scRNA-seq Reveals Distinct Fibroblast Populations and INHBA–FAP Axis as a CAF Regulator…… Survival analysis of TCGA samples by INHBA levels revealed a significantly poorer survival for tumor samples with high INHBA expression
CT052,Human,Lung,Lung,Lung cancer,Small cell lung cancer,Small cell lung cancer,Cancer cell,Cancer cell,PLCG2 high cancer cell,PLCG2,34653364,"Signatures of plasticity, metastasis, and immunosuppression in an atlas of human small cell lung cancer",Cancer cell,2021,single cell transcriptome,10× Genomics,biological phenotype,Tumor Invasion,invasion,,"cell lines (SHP-77, H446, H82, H526, DMS-114)",PLCG2 overexpression/CRISPR knock out and invasion assays,Cultrex BME Cell invasion assay kit,,"In addition, PLCG2 expression was associated with higher migration and invasion in vitro (Figure 4A)"
CT053,Human,Lung,Lung,Lung cancer,Small cell lung cancer,Small cell lung cancer,Cancer cell,Cancer cell,PLCG2 high cancer cell,PLCG2,34653364,"Signatures of plasticity, metastasis, and immunosuppression in an atlas of human small cell lung cancer",Cancer cell,2021,single cell transcriptome,10× Genomics,clinical phenotype,Tumor Metastasis,metastasis,,mouse,intracardiac injection and Luminescence imaging,"In Vivo Imaging System (IVIS, Perkin Elmer)",,"In addition, PLCG2 expression was associated with higher migration and invasion in vitro (Figure 4A) and with higher metastatic potential in vivo following intracardiac injection (Figures 4B and 4C), consistent with the pro-metastatic expression profile of the recurrent cluster."
CT054,Human,Lung,Lung,Lung cancer,Small cell lung cancer,Small cell lung cancer,Cancer cell,Cancer cell,PLCG2 high cancer cell,PLCG2,34653364,"Signatures of plasticity, metastasis, and immunosuppression in an atlas of human small cell lung cancer",Cancer cell,2021,single cell transcriptome,10× Genomics,biological phenotype,Tumor Metastasis,migration,,"cell lines (SHP-77, H446, H82, H526, DMS-114)",PLCG2 overexpression/CRISPR knock out and migration assays,Cultrex BME Cell invasion assay kit,,"In addition, PLCG2 expression was associated with higher migration and invasion in vitro (Figure 4A)"
CT055,Human,Lung,Lung,Lung cancer,Small cell lung cancer,Small cell lung cancer,Cancer cell,Cancer cell,PLCG2 high cancer cell,PLCG2,34653364,"Signatures of plasticity, metastasis, and immunosuppression in an atlas of human small cell lung cancer",Cancer cell,2021,single cell transcriptome,10× Genomics,clinical phenotype,Survival,shorter survival,,clinical samples,survival analysis,analysis,clinical data,"Considering only tumors that were ever extensive-stage (either at initial diagnosis or upon relapse; N = 27 passing quality control; see STAR Methods), we found that the presence of PLCG2-expressing cancer cells is negatively correlated with overall survival"
CT056,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Fibroblast,Fibroblasts,Cancer-associated fibroblast,"ACTA2, FAP, PDGFRB, PDPN, PDGFRA, FOXF1",34670584,Integrated single-cell and bulk RNA sequencing analysis identifies a cancer associated fibroblast-related signature for predicting prognosis and therapeutic responses in colorectal cancer,Cancer cell international,2021,single cell transcriptome,,clinical phenotype,Survival,shorter survival,,clinical samples,survival analysis,analysis,clinical data,high CAF risk group had significantly unfavorable survival outcomes compared with the low CAF risk group…...higher CAF risk group patients also revealed worse OS than lower CAF risk group in TCGA validation
CT057,Human,Ovary,Ovary,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer,Epithelial cell,Malignant epithelial cells,PEG10+ EME cells,PEG10,34775482,Single-cell RNA-seq highlights a specific carcinoembryonic cluster in ovarian cancer,,,Single-cell RNA-sequencing,10× Genomics Chromium,clinical phenotype,Drug Response,Cisplatin Resistance,promotes resistance,clinical sample,Cell culture experiments,"CCK-8 assay, flow cytometry",cell," In our study, we found that PEG10 was higher in the cisplatin resistance (Fig. 4F) and relapse group (Fig. 4G). 

As expected, SKOV3 cells transferred with siPEG10 were more sensitive to cisplatin toxicity. Same trend could be found in cisplatin-sensitive and cisplatin-resistant cells, such as A2780 and A2780/cisR (Fig. 4I). Furthermore, downregulation of PEG10 significantly strengthen cisplatin-induced apoptosis (Fig. 4J). These proved that PEG10 deficiency indeed increased cellular sensitivity to chemotherapy."
CT058,Human,Ovary,Ovary,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer,Epithelial cell,Malignant epithelial cells,PEG10+ EME cells,PEG10,34775482,Single-cell RNA-seq highlights a specific carcinoembryonic cluster in ovarian cancer,,,Single-cell RNA-sequencing,10× Genomics Chromium,clinical phenotype,Survival,Overall Survival,associated with poor survival,clinical sample,survival analysis,analysis,clinical information,"Meaningfully, a subtype of malignant epithelial cluster, PEG10 EME, was associated with poor survival and was an intermediate stage of embryo to tumour.

In the present study, we demonstrated that PEG10 was higher in OC samples (Figs. 4A and S3A). Moreover, patients with higher PEG10 exhibited poor OS (Fig. 4B, C) and progression-free survival (PFS) (Fig. S3C, D).

"
